smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,LM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,340.19,366.3332301,0.928635385,4,1,46.53,6,3,6,4,1,18,0.333333333,1,0,0.672,3.09,0.381,62.241,0.497,['-'],['-'],['-'],['-'],0,0,0,0,-2.54331865,1.475294268,1.767937052,114.592429,320.6223279,8.101215357,1.893516752,-5.217069355,-4.889574075,0.719688416,2.86E-05,0.99983263,0.998278969,0.999712585,0.999999982,0.999999983,0.825282037,0.980894506,0.000186586,0.000228761,0.000201586,0.038103856,62.88415427,0.602534322,32.61634921,0.000570603,3.31E-07,9.00E-11,0.120469123,1.51E-07,7.89E-11,1,9.63E-10,0.999832153,0.999918818,1,5.03E-13,0.381488323,0.999780595,4.827810838,0.77731535,1.875693254,4.048643946,5.546160247,4.95224727,0.098546132,0.379478604,0.000318731,0.022671789,0.22772111,0.990107179,0.424292892,0.156250089,0.04162379,0.779796898,0.956775665,0.166810229,0.768566787,0.092073672,0.030807829,0.273335218,0.799737155,0.021867851,0.001198047,0.191167742,0.000645411,0.803479552,0.076943986,0.001975984,0.260262161,0.002290315,2.03E-06,0.008688446,0.005205487,0.001377654,0.000641437,0.013103833,['-'],['-'],['-'],['-'],"[(1, 0, 2, 3, 6)]","[(1, 0, 2, 3, 6)]",['-'],['-'],0.425,0,0.032,0.019,0.018,0.729,0.136
CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl,291.08,275.9377816,1.054875481,3,2,41.49,6,1,6,5,0,6,1,1,0,0.876,2.544,0.538,20,-1.15,"[(9, 10, 11, 12, 14, 15, 16)]",['-'],['-'],['-'],0,1,0,0,-3.66511611,2.895048786,3.471111724,107.1076104,299.3108666,10.6462546,7.877957063,-4.590744429,-4.728252338,0.56314677,0.001154564,0.971136272,6.68E-05,0.000169635,0.000422776,0.294119596,0.093184307,0.03088964,0.051908769,0.022297056,0.970536947,0.157842323,85.02654402,0.704916072,16.75485588,0.002062415,0.001498314,0.000109308,1,1.01E-05,1.72E-05,0.999858022,0.999996185,0.068325743,0.998381138,4.02E-07,5.99E-09,4.33E-06,0.113472171,8.807899247,0.622716833,1.695872531,3.771130298,4.911333737,4.542008423,0.68421948,0.882146955,0.023904234,0.11479675,0.212669522,0.751199782,0.40851593,0.442975819,0.004998954,0.023013741,0.893131316,0.439979553,0.445330828,0.941710114,0.201003179,0.23330681,0.112218879,0.023333203,0.038566791,0.251967013,0.000692835,0.002472794,7.38E-07,0.0001788,0.074214235,0.043797497,8.97E-06,0.000394768,3.06E-07,0.000705309,0.019387521,1.25E-05,"[(12,), (1,), (12, 13), (1,)]","[(10, 11, 12, 14, 15, 16, 17)]",['-'],['-'],['-'],"[(12, 13)]",['-'],['-'],0.054,0,0.002,0.273,0.01,0.012,0.268
CC(=O)Oc1ccccc1C(=O)O,180.04,177.6424801,1.013496321,4,1,63.6,3,1,6,4,0,8,0.375,0,0,0.55,1.58,0.111,7,0.122,"[(3, 4, 5, 6, 7, 8, 9)]",['-'],['-'],['-'],0,0,0,1,-1.553960804,1.220288084,1.168205172,103.1122568,269.7237088,4.055290299,3.638159715,-4.984952106,-4.577340017,0.974059224,0.000117074,0.063218616,1.67E-06,0.000138402,1.98E-05,0.012697697,0.04180871,0.544937551,3.94E-05,0.006346871,0.997688532,0.993225992,60.28224438,-0.831100026,40.1097562,4.88E-05,0.000209555,3.93E-05,2.37E-05,0.000698526,0.182424709,2.59E-05,1.20E-05,2.49E-07,0.000287866,1.35E-06,2.26E-05,0.006029869,0.003331067,2.766102871,0.822484017,0.369182488,2.631820492,3.746094967,3.245277765,0.015232448,0.072350651,0.744177997,0.255995423,0.346167833,0.069738202,0.704995275,0.199999347,0.919225276,0.994051158,0.39555034,0.406708956,0.329730034,0.198171809,0.466843814,0.191413239,0.192989305,0.013346091,0.054984707,0.023209104,0.00194083,0.012127726,0.000188703,0.00021748,0.032209169,0.000443868,0.001741605,0.258229136,6.82E-05,0.015189234,0.10839653,0.003000848,['-'],['-'],['-'],['-'],"[(4, 3, 1, 2, 0, 5, 6, 7, 8, 9), (0, 1, 2, 3, 4)]",['-'],['-'],['-'],0.004,0.001,0.077,0.034,0.993,0.924,0.356
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,307.18,321.0871225,0.956687386,5,0,48,8,2,6,5,0,12,0.666666667,0,0,0.691,2.048,0.588,27.556,-0.241,"[(1, 2, 3, 4, 7, 8, 9), (1, 2, 3, 4, 7, 18, 21)]",['-'],['-'],['-'],0,0,0,0,-2.541278793,2.241452164,2.137054564,106.2454766,266.2961865,9.468291977,8.518219842,-4.349789707,-4.841096352,0.79873991,0.001003659,0.101141907,3.93E-06,0.00042206,0.000123143,0.00410521,0.005301397,0.035240371,0.02284376,0.682110071,0.994702756,0.995890737,58.7967221,0.108650164,39.52744583,6.55E-06,0.998853326,1.76E-09,1,2.65E-11,0.040047862,0.999986053,0.999999881,7.11E-05,0.999805272,9.89E-07,0.000313255,3.45E-12,0.000213491,8.152908198,0.770683708,1.123343736,3.507472551,4.77639586,3.925691559,0.87246716,0.794824481,0.068735585,0.268085271,0.635549247,0.565051973,0.582695246,0.413216859,0.110830545,0.208522424,0.972928703,0.518894017,0.9557724,0.271470755,0.356054902,0.850003898,0.123870566,0.114075318,0.167343378,0.547889709,0.017877903,0.002985567,0.00280984,0.008209305,0.056389831,0.000128324,0.000117509,0.063566953,0.004703376,0.08286117,0.038796093,0.250961959,['-'],['-'],['-'],['-'],"[(7, 8, 9, 10)]",['-'],['-'],['-'],0.019,0,0.143,0.35,0.002,0.128,0.239
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,373.16,376.1333777,0.992094885,5,3,67.59,6,3,6,6,0,19,0.315789474,0,0,0.789,1.984,0.35,40.296,-1.393,"[(1, 2, 3, 4, 5, 6, 8, 9), (5, 4, 3, 2, 9, 8, 6), (1, 2, 3, 4, 6, 8, 9)]",['-'],['-'],['-'],0,1,0,0,-3.894020929,3.012657117,3.289858163,158.5997478,302.8094845,9.080295689,7.795467184,-5.598789213,-4.747126837,0.025211591,0.133261234,0.370933592,6.84E-05,0.000891387,0.004930973,0.074468672,0.785060883,0.556114078,0.197358638,0.998796582,0.919880152,0.993866384,77.4168239,0.428672663,22.78142737,0.001048654,0.176932693,0.999873638,0.999798238,0.943932056,0.019691609,0.99998486,0.785036922,0.996607184,0.074356511,0.599983215,5.34E-09,0.914059758,0.973685026,6.269985582,0.751522311,0.684210016,3.456325953,5.20363518,4.396952398,0.964544058,0.851537526,0.578601837,0.548183322,0.644580185,0.824162602,0.701032043,0.230704874,2.83E-06,0.004819109,0.987915635,0.678566754,0.991398573,0.34467569,0.371420413,0.676882267,0.996200502,0.102318875,0.325736523,0.833311141,0.172660694,0.025325278,0.12791945,0.091591604,0.091549821,0.012728544,0.06530679,0.492991179,0.217997879,0.034075696,0.137869775,0.068566725,"[(6,)]","[(4, 3, 2, 9, 8, 6, 7)]",['-'],['-'],"[(4, 5), (4, 5)]","[(6, 7)]","[(5, 4, 3, 2, 9, 8, 6)]","[(4, 5), (4, 5), (4, 5), (4,), (4, 5)]",0.179,0.007,0.362,0.763,0.001,0.023,0.1
O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,398.04,360.7504103,1.103366728,7,1,92.91,9,2,6,9,0,14,0.642857143,0,0,0.417,2.247,0.235,14,-1.101,"[(14, 13, 12, 11, 10, 25, 24), (18, 19, 20, 21)]","[(1, 0, 2, 3), (2, 3)]",['-'],['-'],0,0,0,0,-4.242591367,2.904616711,2.590362922,121.28968,313.7479742,7.98540322,4.570029159,-5.196423641,-4.727405322,0.932870328,0.002487458,0.000107612,5.72E-05,0.00016892,0.000202835,0.003691018,0.548348188,0.696778238,2.87E-05,0.998735607,0.13808547,0.997142494,87.52478317,-0.054021959,8.447918435,0.002591457,0.992250979,0.005466809,0.012418427,0.000364924,0.431694865,3.76E-06,0.03173887,0.415354431,0.917445838,0.078890346,1.24E-08,0.022400076,0.981607318,2.590867384,1.255692404,1.610429493,4.436197025,5.719279528,5.301987469,0.104494117,0.443748683,0.159066886,0.967796981,0.049913954,0.076184951,0.999260485,0.844565511,0.040336907,0.966524601,0.998957038,0.255236357,0.012658709,0.113429517,0.216119364,0.822925687,0.999847889,0.076190941,0.025499208,0.81930536,0.006083811,0.001615784,0.000291879,0.160045907,0.684829473,0.1337111,0.000505838,0.798603654,0.000296181,0.000177724,0.04241202,0.175414994,"[(18,), (5,)]","[(2, 3)]",['-'],['-'],"[(2, 3), (2,), (2, 1, 0, 5, 9, 10)]","[(3, 2, 1, 0, 5), (1, 2, 3)]","[(2, 3), (19,), (17, 16, 15, 23, 22, 18, 19)]","[(18, 19), (2, 3), (18, 19), (3, 2), (2, 3), (18, 19), (18, 19), (18, 19)]",0.985,0.001,0.003,0.652,0.415,0.042,0.015
Cc1c(Br)cc(Br)c(O)c1Br,341.79,179.8036046,1.900907386,1,1,20.23,0,1,6,4,0,6,0,0,0,0.754,2.616,0.143,8,0.229,"[(2, 3), (8, 7, 5, 4, 2, 1, 9)]",['-'],['-'],['-'],0,1,1,0,-4.115777607,2.942285648,4.116492621,98.06026607,281.4043214,5.969550338,1.760782699,-5.018332537,-4.652775303,0.87174648,0.437153697,0.001058567,0.058512628,0.00483042,0.040762782,0.127626419,0.915155172,0.873932779,0.738515198,0.9920035,0.416573346,0.975215316,97.00288526,0.077013583,2.223687447,0.999541163,3.28E-05,0.999890447,6.38E-05,0.999971867,8.20E-07,0.582542896,3.02E-05,0.129339695,0.003574972,0.999691486,2.31E-10,0.999999881,0.306704044,7.263704375,1.551752926,1.9201446,4.673094481,5.276256957,4.766982496,0.113205813,0.634091556,0.98339349,0.364869684,0.897686243,0.96575433,0.983848572,0.819007576,0.999348462,0.999751985,0.788628161,0.333030373,0.635972023,0.092017658,0.024126828,0.107696421,0.993480086,0.054722596,0.45147872,0.281710714,0.530063391,0.10002549,0.005536546,0.060745209,0.00093208,0.001229528,0.049253423,0.917238235,0.000144197,0.979482472,0.996726513,0.95193553,['-'],['-'],"[(3, 2, 1, 0, 9, 10, 7, 8, 5, 6, 4)]",['-'],['-'],"[(2, 3)]","[(8, 7, 5, 4, 2, 1, 9)]",['-'],0.107,0,0.003,0.024,0.998,0.892,0.295
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,255.09,261.2390893,0.976461833,4,1,59.42,2,3,14,4,0,17,0.117647059,1,0,0.764,2.935,0.2,49.778,-0.137,['-'],['-'],['-'],['-'],0,0,0,0,-2.955507355,2.151349532,2.208050907,139.0721774,273.3551911,3.814248563,2.442086087,-4.389702271,-4.555977411,0.989514828,4.74E-05,0.00440359,5.25E-05,0.009517908,0.003057897,0.045497417,0.980912089,0.988081455,0.000135089,0.845410049,0.118745811,0.898689151,97.895664,-0.888817493,2.043202746,4.34E-07,0.20440492,3.04E-06,0.022059405,0.001051858,0.999973536,2.00E-06,0.000989797,6.64E-07,0.226501152,2.34E-05,0.001270995,4.02E-05,0.158201024,0.473388068,1.658175875,0.236773286,2.919182336,4.097413197,3.391649869,0.105608977,0.081740417,0.943440735,0.189816564,0.822771668,0.258330375,0.622889519,0.444712907,0.009494369,0.83767575,0.733648837,0.656270742,0.324705124,0.835165441,0.49205783,0.909815013,0.805455267,0.046301752,0.005954822,0.026886798,0.005934092,0.000664354,7.85E-07,0.017029729,0.015174556,1.74E-05,0.081318595,0.010623133,1.50E-06,3.20E-05,0.000404486,0.000247323,"[(16,)]",['-'],['-'],['-'],['-'],['-'],['-'],['-'],0.024,0.183,0.071,0.258,0.032,0.876,0.128
CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,309.21,355.9910057,0.868589361,2,0,20.31,7,2,6,2,0,13,0.538461538,1,1,0.76,2.71,0.381,28,-0.198,['-'],['-'],['-'],['-'],0,1,0,0,-2.842098189,2.94397216,3.274001887,112.7486281,259.1612363,9.941532485,8.457680303,-4.758528826,-4.701161387,0.041111637,0.964194953,0.086961307,1.19E-07,4.36E-05,0.006642997,0.235961795,0.001453054,0.005491737,0.091012277,0.968836308,0.999939561,0.885769486,85.17437584,0.675765508,13.94623075,9.17E-05,0.999954104,0.000756326,0.999988079,0.009691963,0.999895096,0.187449336,0.947156787,0.605110466,0.999997735,0.999827981,0.931113899,0.018613089,0.184893966,7.241973232,0.821261177,1.667320855,3.648136558,4.323225418,4.094970142,0.359507859,0.672020733,0.052041166,0.20556803,0.694422126,0.655513346,0.603365898,0.110641696,0.012488799,0.328564793,0.748480022,0.524517298,0.838054061,0.103312664,0.155440927,0.340083092,0.516290903,0.034870744,0.228965148,0.345919818,0.000252697,6.76E-05,3.37E-06,2.16E-06,0.847405553,0.000878882,6.73E-08,0.000342876,4.95E-07,8.55E-07,0.000236346,1.32E-06,"[(1, 2, 3, 4), (8,)]",['-'],['-'],['-'],"[(1, 2, 3, 4)]",['-'],"[(1, 2, 3, 4)]",['-'],0.045,0,0.027,0.04,0.111,0.078,0.189
CCCCC(CC)C1NC(=O)N(SC(Cl)(Cl)Cl)C1=O,346.01,288.6991232,1.198514204,4,1,49.41,7,1,5,8,0,7,1,2,0,0.447,4.249,0.818,23.1,0.555,['-'],"[(12, 11)]",['-'],['-'],0,1,0,0,-4.213945082,3.569303844,3.822422106,99.9891094,307.2819338,7.571420998,4.672163072,-4.96954951,-4.735055423,0.744938195,1.95E-06,1.57E-08,0,0.000121236,5.92E-05,0.999995326,0.382616222,0.786383033,0.00298979,0.46150133,0.999999523,0.01292054,97.11051132,0.059840737,3.259234838,0.056815207,0.503283024,0.747498214,0.999012113,0.105093747,0.999642611,0.000713819,0.784228027,0.17463021,0.981907308,0.032358341,0.952956915,0.150235876,0.907795906,3.68484296,1.319183137,1.71616094,4.605583546,6.504004596,5.983762378,0.051176406,0.317571998,0.955146968,0.969158113,0.301142216,0.114268132,0.998651922,0.921496153,0.00026112,0.311354041,0.9757002,0.270242661,0.722658277,0.161452964,0.448798954,0.198775098,0.977586269,0.079768836,0.069916569,0.835418701,6.34E-06,0.022402868,0.006159066,0.985093236,0.9984079,0.040739469,0.042809065,0.968439758,0.044523571,0.592258811,0.997443438,0.995611787,"[(4,), (13, 14)]",['-'],"[(12, 11)]",['-'],"[(13, 14), (7, 17, 18, 11, 9, 10), (7, 17, 18, 11, 9, 8), (11, 9, 10, 8, 7, 17)]","[(12, 13, 14)]","[(13, 14)]","[(13, 14), (14, 13)]",0.321,0.049,0.008,0.162,0.421,0.024,0.002
